level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	1	3	1	8	1119	1323	30	35	96.466576	is
5	1	1	3	1	9	1164	1325	87	32	96.915916	true
5	1	1	3	1	10	1266	1324	39	32	96.965431	to
5	1	1	3	1	11	1320	1320	64	35	96.624084	the
5	1	1	3	1	12	1399	1320	84	35	96.393379	best
5	1	1	3	1	13	1498	1318	44	35	96.438057	of
5	1	1	3	1	14	1553	1327	64	36	96.438057	my
5	1	1	3	1	15	1632	1316	225	45	96.313766	knowledge
5	1	1	3	1	16	1873	1315	77	34	96.725349	and
5	1	1	3	1	17	1964	1312	127	43	96.712326	belief,
5	1	1	3	1	18	2107	1312	77	34	96.999619	and
3	1	1	4	0	0	224	1398	1976	57	-1	
4	1	1	4	1	0	224	1398	1976	57	-1	
5	1	1	4	1	1	224	1420	86	35	96.119179	that
5	1	1	4	1	2	324	1419	16	33	96.942635	I
5	1	1	4	1	3	356	1415	242	38	96.479050	understand
5	1	1	4	1	4	614	1414	29	35	96.969658	it
5	1	1	4	1	5	657	1414	30	34	96.825424	is
5	1	1	4	1	6	703	1412	114	35	95.779411	made
5	1	1	4	1	7	832	1411	60	35	95.818382	for
5	1	1	4	1	8	907	1419	67	26	96.438164	use
5	1	1	4	1	9	990	1419	41	25	96.899918	as
5	1	1	4	1	10	1046	1408	181	36	96.667564	evidence
5	1	1	4	1	11	1241	1406	39	34	96.862465	in
5	1	1	4	1	12	1297	1408	111	32	96.862465	court
5	1	1	4	1	13	1423	1404	77	35	96.915970	and
5	1	1	4	1	14	1516	1403	30	35	96.286484	is
5	1	1	4	1	15	1562	1402	151	45	96.003418	subject
5	1	1	4	1	16	1727	1404	38	32	96.003418	to
5	1	1	4	1	17	1781	1400	156	46	96.050430	penalty
5	1	1	4	1	18	1952	1399	61	34	96.097748	for
5	1	1	4	1	19	2027	1398	173	45	96.097748	perjury.
3	1	1	5	0	0	228	1538	2038	351	-1	
4	1	1	5	1	0	983	1538	442	50	-1	
5	1	1	5	1	1	983	1540	216	48	91.670975	Objector’s
5	1	1	5	1	2	1217	1538	208	47	96.497192	Signature:
4	1	1	5	2	0	1280	1640	132	38	-1	
5	1	1	5	2	1	1280	1640	132	38	96.727509	Dated:
4	1	1	5	3	0	228	1742	1692	67	-1	
5	1	1	5	3	1	228	1763	37	37	96.083511	A
5	1	1	5	3	2	280	1773	99	36	95.489670	copy
5	1	1	5	3	3	394	1759	47	39	96.991203	of
5	1	1	5	3	4	450	1759	73	38	96.998260	this
5	1	1	5	3	5	539	1756	193	50	96.885590	objection
5	1	1	5	3	6	746	1755	67	38	96.924408	has
5	1	1	5	3	7	828	1754	97	38	96.714500	been
5	1	1	5	3	8	940	1757	82	33	96.943443	sent
5	1	1	5	3	9	1036	1757	38	32	96.923470	to
5	1	1	5	3	10	1091	1749	206	50	96.210983	(opposing
5	1	1	5	3	11	1311	1753	106	44	96.960251	party
5	1	1	5	3	12	1433	1759	42	25	97.003975	or
5	1	1	5	3	13	1489	1746	61	37	93.305908	the
5	1	1	5	3	14	1564	1745	143	49	92.701828	party’s
5	1	1	5	3	15	1724	1742	196	49	94.864670	attorney):
4	1	1	5	4	0	1731	1846	535	43	-1	
5	1	1	5	4	1	1731	1856	36	33	92.652985	at
5	1	1	5	4	2	1781	1848	245	40	91.828651	individual’s
5	1	1	5	4	3	2043	1847	70	38	96.683418	last
5	1	1	5	4	4	2127	1846	139	38	96.683418	known
3	1	1	6	0	0	232	1904	1839	56	-1	
4	1	1	6	1	0	232	1904	1839	56	-1	
5	1	1	6	1	1	232	1921	164	39	96.468849	address.
5	1	1	6	1	2	425	1920	158	37	96.282516	NOTE:
5	1	1	6	1	3	604	1919	74	36	95.526703	You
5	1	1	6	1	4	692	1915	149	39	96.151039	MUST
5	1	1	6	1	5	850	1926	110	26	96.117409	serve
5	1	1	6	1	6	975	1926	23	24	94.919647	a
5	1	1	6	1	7	1013	1925	97	35	94.919647	copy
5	1	1	6	1	8	1124	1924	49	25	96.894676	on
5	1	1	6	1	9	1190	1910	62	38	96.894676	the
5	1	1	6	1	10	1266	1911	192	46	96.710014	opposing
5	1	1	6	1	11	1465	1913	114	42	96.978104	party
5	1	1	6	1	12	1595	1918	45	25	96.964096	or
5	1	1	6	1	13	1655	1905	60	37	93.306229	the
5	1	1	6	1	14	1724	1904	151	48	90.925034	party’s
5	1	1	6	1	15	1891	1909	180	40	96.917816	attorney.
3	1	1	7	0	0	233	2007	1897	65	-1	
4	1	1	7	1	0	233	2007	1897	65	-1	
5	1	1	7	1	1	233	2028	84	36	96.744850	The
5	1	1	7	1	2	333	2026	114	46	96.898651	filing
5	1	1	7	1	3	462	2025	61	36	96.779800	fee
5	1	1	7	1	4	539	2026	109	34	96.451508	must
5	1	1	7	1	5	662	2023	50	36	96.451508	be
5	1	1	7	1	6	727	2020	188	38	96.228302	included
5	1	1	7	1	7	929	2020	117	35	95.798073	when
5	1	1	7	1	8	1062	2028	78	36	95.798073	you
5	1	1	7	1	9	1156	2016	67	37	96.722275	file
5	1	1	7	1	10	1239	2015	79	36	96.920235	this
5	1	1	7	1	11	1334	2013	216	48	95.919510	objection.
5	1	1	7	1	12	1579	2011	160	37	96.451576	Review
5	1	1	7	1	13	1754	2010	67	36	96.176331	the
5	1	1	7	1	14	1838	2011	115	35	96.608467	court
5	1	1	7	1	15	1966	2007	164	38	96.690521	website
3	1	1	8	0	0	234	2060	1980	64	-1	
4	1	1	8	1	0	234	2060	1980	64	-1	
5	1	1	8	1	1	234	2070	1068	54	89.115044	(https://www.courts.oregon.gov/Pages/fees.aspx)
5	1	1	8	1	2	1319	2078	46	23	90.730614	or
5	1	1	8	1	3	1381	2067	76	34	96.548752	call
5	1	1	8	1	4	1472	2063	293	37	96.422043	503-655-8447
5	1	1	8	1	5	1781	2062	139	45	96.414856	option
5	1	1	8	1	6	1935	2061	23	35	96.013611	4
5	1	1	8	1	7	1974	2061	35	35	95.205208	if
5	1	1	8	1	8	2019	2071	78	33	95.904289	you
5	1	1	8	1	9	2113	2060	101	35	96.586311	have
3	1	1	9	0	0	235	2109	2095	68	-1	
4	1	1	9	1	0	235	2109	2095	68	-1	
5	1	1	9	1	1	235	2129	205	48	96.101341	questions
5	1	1	9	1	2	458	2129	124	35	96.465195	about
5	1	1	9	1	3	596	2127	68	35	96.971390	the
5	1	1	9	1	4	680	2127	164	34	96.884636	current
5	1	1	9	1	5	859	2123	74	36	96.329903	fee.
5	1	1	9	1	6	962	2122	82	35	96.339981	File
5	1	1	9	1	7	1059	2122	53	44	96.842705	by
5	1	1	9	1	8	1128	2120	96	36	96.957603	mail
5	1	1	9	1	9	1240	2129	46	26	96.992065	or
5	1	1	9	1	10	1301	2118	41	36	96.090134	in
5	1	1	9	1	11	1358	2127	148	37	96.090134	person
5	1	1	9	1	12	1523	2119	40	32	96.647911	at
5	1	1	9	1	13	1579	2115	243	36	96.593437	Clackamas
5	1	1	9	1	14	1838	2113	163	44	96.457291	County
5	1	1	9	1	15	2017	2110	155	37	96.416733	Circuit
5	1	1	9	1	16	2188	2109	142	36	96.685867	Court.
3	1	1	10	0	0	237	2262	2096	61	-1	
4	1	1	10	1	0	237	2262	2096	61	-1	
5	1	1	10	1	1	237	2284	330	39	96.115074	CERTIFICATE
5	1	1	10	1	2	587	2282	63	37	96.876625	OF
5	1	1	10	1	3	670	2279	293	38	96.445152	DOCUMENT
5	1	1	10	1	4	982	2274	368	39	95.260651	PREPARATION:
5	1	1	10	1	5	1405	2273	89	35	90.392204	You
5	1	1	10	1	6	1514	2283	60	25	96.976501	are
5	1	1	10	1	7	1593	2268	173	49	96.524300	required
5	1	1	10	1	8	1783	2274	39	31	96.985893	to
5	1	1	10	1	9	1841	2266	195	47	96.772537	truthfully
5	1	1	10	1	10	2055	2263	187	49	96.820793	complete
5	1	1	10	1	11	2260	2262	73	37	97.016792	this
3	1	1	11	0	0	238	2315	2095	67	-1	
4	1	1	11	1	0	238	2315	2095	67	-1	
5	1	1	11	1	1	238	2336	205	39	96.953659	certificate
5	1	1	11	1	2	461	2334	199	48	96.558258	regarding
5	1	1	11	1	3	678	2333	62	36	96.619377	the
5	1	1	11	1	4	760	2332	203	37	96.647163	document
5	1	1	11	1	5	980	2340	77	37	96.996292	you
5	1	1	11	1	6	1076	2339	61	26	96.875801	are
5	1	1	11	1	7	1156	2327	111	47	96.429993	filing
5	1	1	11	1	8	1285	2325	91	37	96.974663	with
5	1	1	11	1	9	1394	2325	62	36	96.671295	the
5	1	1	11	1	10	1476	2328	114	33	96.387093	court.
5	1	1	11	1	11	1629	2321	133	38	96.876015	Check
5	1	1	11	1	12	1779	2321	49	36	96.426392	all
5	1	1	11	1	13	1846	2320	120	37	96.094376	boxes
5	1	1	11	1	14	1987	2318	72	37	96.094376	and
5	1	1	11	1	15	2078	2316	187	48	96.707375	complete
5	1	1	11	1	16	2284	2315	49	37	96.458893	all
3	1	1	12	0	0	236	2387	367	48	-1	
4	1	1	12	1	0	236	2387	367	48	-1	
5	1	1	12	1	1	236	2389	135	38	96.985138	blanks
5	1	1	12	1	2	387	2389	77	36	96.768501	that
5	1	1	12	1	3	479	2387	124	48	96.564934	apply:
3	1	1	13	0	0	239	2473	2097	69	-1	
4	1	1	13	1	0	239	2473	2097	69	-1	
5	1	1	13	1	1	239	2494	126	48	45.991096	A.(_)
5	1	1	13	1	2	379	2492	79	38	87.795135	The
5	1	1	13	1	3	472	2490	103	40	87.795135	clerk
5	1	1	13	1	4	585	2488	182	51	96.646339	prepared
5	1	1	13	1	5	779	2487	72	38	96.646339	this
5	1	1	13	1	6	866	2486	99	38	96.168282	form
5	1	1	13	1	7	978	2485	99	38	96.339760	from
5	1	1	13	1	8	1089	2496	66	36	95.870277	my
5	1	1	13	1	9	1168	2482	78	39	96.966003	oral
5	1	1	13	1	10	1259	2481	190	39	96.707306	dictation.
5	1	1	13	1	11	1476	2481	31	36	96.195648	It
5	1	1	13	1	12	1518	2490	80	27	96.985947	was
5	1	1	13	1	13	1611	2478	90	38	96.800720	read
5	1	1	13	1	14	1712	2482	38	33	96.977303	to
5	1	1	13	1	15	1763	2488	61	26	96.548477	me
5	1	1	13	1	16	1838	2476	73	38	96.548477	and
5	1	1	13	1	17	1925	2476	26	37	96.941597	it
5	1	1	13	1	18	1964	2474	211	48	96.990250	accurately
5	1	1	13	1	19	2187	2473	149	37	96.839279	reflects
3	1	1	14	0	0	240	2545	2100	520	-1	
4	1	1	14	1	0	390	2545	382	48	-1	
5	1	1	14	1	1	390	2558	66	35	95.783173	my
5	1	1	14	1	2	471	2545	78	37	96.166664	oral
5	1	1	14	1	3	565	2547	207	34	96.323402	statement.
4	1	1	14	2	0	240	2589	1258	58	-1	
5	1	1	14	2	1	240	2601	76	46	22.854242	B.(_
5	1	1	14	2	2	357	2600	15	47	22.854242	)
5	1	1	14	2	3	419	2597	216	48	5.349007	Lcompleted
5	1	1	14	2	4	649	2596	72	37	96.970245	this
5	1	1	14	2	5	738	2595	100	37	96.828590	form
5	1	1	14	2	6	850	2592	148	48	96.820541	myself
5	1	1	14	2	7	1006	2592	158	36	96.444786	without
5	1	1	14	2	8	1177	2590	90	48	96.687660	paid
5	1	1	14	2	9	1282	2589	216	36	96.763596	assistance.
4	1	1	14	3	0	242	2634	2098	66	-1	
5	1	1	14	3	1	242	2654	75	46	36.206184	C.(
5	1	1	14	3	2	356	2653	15	46	54.015713	)
5	1	1	14	3	3	386	2654	16	35	71.239212	I
5	1	1	14	3	4	415	2651	90	48	71.239212	paid
5	1	1	14	3	5	519	2662	42	25	96.708717	or
5	1	1	14	3	6	573	2649	81	37	96.811646	will
5	1	1	14	3	7	667	2660	75	36	95.984726	pay
5	1	1	14	3	8	756	2658	139	35	96.413582	money
5	1	1	14	3	9	909	2651	38	31	96.849495	to
5	1	1	14	3	10	1798	2637	59	37	96.816757	for
5	1	1	14	3	11	1871	2636	204	37	96.473763	assistance
5	1	1	14	3	12	2091	2635	38	37	96.552986	in
5	1	1	14	3	13	2142	2634	198	48	96.394524	preparing
4	1	1	14	4	0	392	2703	199	45	-1	
5	1	1	14	4	1	392	2704	73	36	96.799889	this
5	1	1	14	4	2	482	2703	109	45	96.622604	form.
4	1	1	14	5	0	999	2795	442	47	-1	
5	1	1	14	5	1	999	2797	217	45	92.157288	Objector’s
5	1	1	14	5	2	1234	2795	207	45	96.422234	Signature:
4	1	1	14	6	0	245	2905	413	52	-1	
5	1	1	14	6	1	245	2906	217	51	92.310555	Objector’s
5	1	1	14	6	2	477	2905	181	38	96.594444	Address:
4	1	1	14	7	0	246	3008	2050	57	-1	
5	1	1	14	7	1	246	3016	217	49	87.987831	Objector’s
5	1	1	14	7	2	478	3014	129	38	96.718903	Phone
5	1	1	14	7	3	620	3012	173	39	96.175598	Number
5	1	1	14	7	4	807	3010	72	38	96.175598	and
5	1	1	14	7	5	893	3009	123	38	96.315804	Email
5	1	1	14	7	6	1031	3008	181	38	52.529049	Address;
